created_at,field1,field2
2025-09-25 11:10:34,1,occupied
2025-09-25 11:10:45,1,occupied
2025-09-25 11:10:49,1,occupied
2025-09-25 11:11:26,1,occupied
2025-09-25 11:11:34,1,occupied
2025-09-25 11:11:42,1,occupied
2025-09-25 11:11:43,1,occupied
2025-09-25 11:11:49,1,occupied
2025-09-25 11:11:53,1,occupied
2025-09-25 11:12:01,1,occupied
2025-09-25 11:12:18,1,occupied
2025-09-25 11:12:20,1,occupied
2025-09-25 11:12:25,1,occupied
2025-09-25 11:12:31,1,occupied
2025-09-25 11:12:32,1,occupied
2025-09-25 11:12:49,1,occupied
2025-09-25 11:13:13,1,occupied
2025-09-25 11:13:15,1,occupied
2025-09-25 11:13:19,1,occupied
2025-09-25 11:13:24,1,occupied
2025-09-25 11:13:25,1,occupied
2025-09-25 11:13:54,1,occupied
2025-09-25 11:14:02,1,occupied
2025-09-25 11:14:05,1,occupied
2025-09-25 11:14:12,1,occupied
2025-09-25 11:14:27,1,occupied
2025-09-25 11:14:35,1,occupied
2025-09-25 11:14:39,1,occupied
2025-09-25 11:14:41,1,occupied
2025-09-25 11:14:49,1,occupied
2025-09-25 11:15:00,1,occupied
2025-09-25 11:15:04,1,occupied
2025-09-25 11:15:08,1,occupied
2025-09-25 11:15:08,1,occupied
2025-09-25 11:15:11,1,occupied
2025-09-25 11:15:16,1,occupied
2025-09-25 11:15:24,1,occupied
2025-09-25 11:15:30,1,occupied
2025-09-25 11:15:45,1,occupied
2025-09-25 11:15:56,1,occupied
2025-09-25 11:16:14,1,occupied
2025-09-25 11:16:19,1,occupied
2025-09-25 11:16:19,1,occupied
2025-09-25 11:16:31,1,occupied
2025-09-25 11:16:37,1,occupied
2025-09-25 11:16:44,1,occupied
2025-09-25 11:16:54,1,occupied
2025-09-25 11:16:59,1,occupied
2025-09-25 11:17:04,1,occupied
2025-09-25 11:17:15,1,occupied
2025-09-25 11:17:18,1,occupied
2025-09-25 11:17:26,1,occupied
2025-09-25 11:17:28,1,occupied
2025-09-25 11:17:39,1,occupied
2025-09-25 11:17:42,1,occupied
2025-09-25 11:17:56,1,occupied
2025-09-25 11:17:58,1,occupied
2025-09-25 11:18:01,1,occupied
2025-09-25 11:18:03,1,occupied
2025-09-25 11:18:14,1,occupied
2025-09-25 11:18:16,1,occupied
2025-09-25 11:18:31,1,occupied
2025-09-25 11:18:33,1,occupied
2025-09-25 11:18:38,1,occupied
2025-09-25 11:18:46,1,occupied
2025-09-25 11:18:51,1,occupied
2025-09-25 11:18:56,1,occupied
2025-09-25 11:19:01,1,occupied
2025-09-25 11:19:13,1,occupied
2025-09-25 11:19:15,1,occupied
2025-09-25 11:19:23,1,occupied
2025-09-25 11:19:30,1,occupied
2025-09-25 11:19:44,1,occupied
2025-09-25 11:19:50,1,occupied
2025-09-25 11:19:50,1,occupied
2025-09-25 11:19:52,1,occupied
2025-09-25 11:20:03,1,occupied
2025-09-25 11:20:05,1,occupied
2025-09-25 11:20:10,1,occupied
